Constituency,Const_No,Winner,Winner_Party,Runner_Up,Runner_Party,Margin,Status,Const_No_num
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206.0,Result Declared,39
Pune,34,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038.0,Result Declared,34
Puri,17,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709.0,Result Declared,17
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847.0,Result Declared,12
Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079.0,Result Declared,35
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287.0,Result Declared,3
RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391.0,Result Declared,2
RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285.0,Result Declared,8
RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089.0,Result Declared,20
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411.0,Result Declared,6
RAJSAMAND,22,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223.0,Result Declared,22
RAMANATHAPURAM,35,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782.0,Result Declared,35
RATLAM,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232.0,Result Declared,24
REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374.0,Result Declared,10
ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298.0,Result Declared,7
Rae Bareli,36,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030.0,Result Declared,36
Raichur,6,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781.0,Result Declared,6
Raigad,32,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784.0,Result Declared,32
Raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197.0,Result Declared,5
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139.0,Result Declared,8
Rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071.0,Result Declared,24
Rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260.0,Result Declared,10
Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264.0,Result Declared,1
Rampur,7,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434.0,Result Declared,7
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768.0,Result Declared,9
Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899.0,Result Declared,13
Ranchi,8,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512.0,Result Declared,8
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858.0,Result Declared,46
Raver,4,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183.0,Result Declared,4
Robertsganj,80,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234.0,Result Declared,80
SAGAR,5,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222.0,Result Declared,5
SALEM,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357.0,Result Declared,15
SATNA,9,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949.0,Result Declared,9
SHAHDOL,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340.0,Result Declared,12
SHIMLA,4,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451.0,Result Declared,4
SIDHI,11,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416.0,Result Declared,11
SIKAR,5,AMRARAM,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896.0,Result Declared,5
SIRSA,3,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497.0,Result Declared,3
SIVAGANGA,31,KARTI P CHIDAMBARAM,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664.0,Result Declared,31
SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816.0,Result Declared,6
SRINAGAR,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416.0,Result Declared,2
SRIPERUMBUDUR,5,T R BAALU,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029.0,Result Declared,5
SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822.0,Result Declared,1
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682.0,Result Declared,5
Saharanpur,1,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542.0,Result Declared,1
Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573.0,Result Declared,71
Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251.0,Result Declared,23
Sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836.0,Result Declared,3
Sambhal,8,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494.0,Result Declared,8
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053.0,Result Declared,44
Sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560.0,Result Declared,12
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170.0,Result Declared,62
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661.0,Result Declared,20
Sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157.0,Result Declared,34
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771.0,Result Declared,45
Secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944.0,Result Declared,8
Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379.0,Result Declared,27
Sheohar,4,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143.0,Result Declared,4
Shillong,1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910.0,Result Declared,1
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715.0,Result Declared,14
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529.0,Result Declared,38
Shirur,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951.0,Result Declared,36
Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673.0,Result Declared,58
Sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830.0,Result Declared,1
Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311.0,Result Declared,8
Singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402.0,Result Declared,10
Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356.0,Result Declared,5
Sitapur,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641.0,Result Declared,30
Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857.0,Result Declared,18
Solapur,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197.0,Result Declared,42
Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408.0,Result Declared,11
South Delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333.0,Result Declared,7
South Goa,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535.0,Result Declared,2
Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830.0,Result Declared,27
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901.0,Result Declared,2
Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174.0,Result Declared,38
Sundargarh,2,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808.0,Result Declared,2
Supaul,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803.0,Result Declared,8
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,Unknown,Unknown,,Uncontested,24
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617.0,Result Declared,9
TENKASI,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199.0,Result Declared,37
THANJAVUR,30,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583.0,Result Declared,30
THENI,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825.0,Result Declared,33
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738.0,Result Declared,36
TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312.0,Result Declared,6
TIRUCHIRAPPALLI,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094.0,Result Declared,24
TIRUNELVELI,38,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620.0,Result Declared,38
TIRUPPUR,18,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928.0,Result Declared,18
TIRUVALLUR,1,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155.0,Result Declared,1
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931.0,Result Declared,11
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949.0,Result Declared,12
Tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733.0,Result Declared,30
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493.0,Result Declared,1
Thane,25,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011.0,Result Declared,25
Thirupathi(SC),23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569.0,Result Declared,23
Thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077.0,Result Declared,20
Thrissur,10,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686.0,Result Declared,10
Tripura East,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819.0,Result Declared,2
Tripura West,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578.0,Result Declared,1
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594.0,Result Declared,19
Tura,2,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241.0,Result Declared,2
UDAIPUR,19,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608.0,Result Declared,19
UDHAMPUR,4,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373.0,Result Declared,4
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860.0,Result Declared,22
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175.0,Result Declared,15
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102.0,Result Declared,22
Uluberia,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673.0,Result Declared,26
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818.0,Result Declared,33
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428.0,Result Declared,12
VELLORE,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702.0,Result Declared,8
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408.0,Result Declared,18
VILUPPURAM,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703.0,Result Declared,13
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379.0,Result Declared,34
Vadakara,3,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506.0,Result Declared,3
Vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126.0,Result Declared,20
Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634.0,Result Declared,16
Valmiki Nagar,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675.0,Result Declared,1
Valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704.0,Result Declared,26
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513.0,Result Declared,77
Vijayawada,12,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085.0,Result Declared,12
Visakhapatnam,4,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247.0,Result Declared,4
Vizianagaram,3,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351.0,Result Declared,3
Warangal,15,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339.0,Result Declared,15
Wardha,8,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648.0,Result Declared,8
Wayanad,4,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422.0,Result Declared,4
West Delhi,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013.0,Result Declared,6
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473.0,Result Declared,14
Zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188.0,Result Declared,5
